cod_usuario,nombre_usuario,rol,contrasena
e15b241c-c84e-4ed5-99b0-3a19f9d398c2,fmorris,Cliente,X&6WZnSdD@
2f95f85a-bb9a-4a4e-b4c9-95c5f5de7698,romanjoseph,Administrador,w*o8SJJmEb
4f6a5342-5bd4-48f6-afee-29cd778c6a16,ajones,Administrador,Rk82fDKrV)
0e506c9e-ee5f-4833-ac25-0e637101454f,baileydavid,Cliente,&dQ1Rlru*5
7c292b8f-e5c9-41f2-89a0-fef1b13bab22,rebeccamoore,Administrador,li2B^f&c@!
8131217a-bb16-44e1-a7cf-78dd68729389,tyler50,Cliente,_5j4GSnt_5
c304beb5-ba88-4b06-a995-f58bf9ac6c56,zruiz,Administrador,RiO$FIPg+6
4847327a-c1ef-4fbe-af5d-19e953152737,eclark,Cliente,v001Om(aI+
b72b4fcd-c5f7-42c5-9153-3ddd6f850af4,pmay,Cliente,&^GmTye873
25add813-f995-4800-bdd9-3a392d6ff2dd,fostervictoria,Administrador,1%T9PwJoN3
e41d727e-0759-4d59-8903-bec76eee8218,kaitlynmelendez,Administrador,m2YtpJaM^q
c3edc96c-7ae4-40ce-8dbb-2f7e051e8dcd,judy00,Administrador,S)1WVz5bQZ
4ab4afb2-690e-45a5-9e0b-49fb8a82276e,james22,Cliente,*M_CfI4rv@
9b9d8b76-b6ad-4471-a8ea-d6325eca75b3,jerry40,Transportista,8(8hbUv_$n
cd4b3dcc-913d-4834-9975-bed343c7dd26,charles32,Cliente,YudEUq^_(8
286f88d4-b251-4761-a052-cbecbf31bc33,jasoncruz,Cliente,x7K3KCi%F$
1cdd3dc3-974c-4b9c-834b-36cdc1df66ce,maria76,Transportista,^j8mQs(v0r
78d53937-f245-4ad8-86ec-f5bbd2c9c003,arnoldcraig,Administrador,gs$0WwMdK(
d536b6f3-068c-4020-890a-913e23f5aa4d,jeremiah08,Transportista,Yih98ODw^_
da8309f2-e313-4731-8ae1-1bd5545cdb9b,sjordan,Transportista,I#1c6Gs$%z
8261478f-ddf9-4c1b-a6ee-a64635936968,webbbrandon,Administrador,AS3R7Dlct^
75bbd782-9502-4e6b-bd55-2d30fcf1649f,mhayes,Cliente,*Me2FxxkjJ
851b65d6-ce8d-47df-a43a-8592dec5f62c,charles97,Administrador,thVcp5xE%0
7e9c3263-25e0-4eb3-b851-da12f1ada1aa,alejandro77,Transportista,l6+myfDu_W
39efa253-6abd-424d-88eb-9ef6cc3aaee7,kimberlyellis,Administrador,sc65SrFut@
6a5d8b0e-8e20-46a7-a7a0-43262011a67b,jennifer27,Transportista,pfX&5pKsk7
c715ad15-ff09-479b-817b-0d8290cce3cd,egriffin,Cliente,pDLElb0D@9
61d03eba-4f7b-45bb-9af2-202f7860c23c,ashleyalvarez,Administrador,&&QtwQEp53
9f738bb8-438f-44d2-ba92-eeef75fd9ee4,nancymahoney,Transportista,^lTNctK0f2
e3f47a65-ee17-4db1-b36e-70012a7da084,anthonyramos,Transportista,W5eU3DJv^a
7fda5b37-2aab-49dc-a6f5-582f07b72b8f,clayrobert,Cliente,DMN6AIiR^F
94652b3b-a6df-4c71-b25b-857916aeb0f0,villarrealjohn,Cliente,G9vjHcr3%2
6c822acb-e274-42a2-8804-bd611b2e4f3b,westwilliam,Transportista,d5$jOVrR!1
eb2d731e-1a12-4fb0-a38b-4ed9d5a85ba2,danielwilliams,Administrador,_Bic97Nbes
a6de428f-b8df-4956-bab9-ebe5cea0f6a6,mccarthyaimee,Transportista,nH4e#3Xm@&
4eca2709-2f9c-496a-a7f5-b59289ec632c,eric95,Transportista,*8gWrMmQrU
5c1f71c9-fbe8-4707-8847-9c12bed44312,baileytyler,Transportista,+1zq7Xqemf
c1255b99-637f-4278-b854-81e61ed29448,jacqueline10,Administrador,E89*J#9t+a
e2923290-bb42-4e54-ac6e-ccb0850d221c,bridgesdavid,Transportista,h7rzUvFL*4
15495ef7-64ac-4df5-b34c-1db536576ba8,danielle28,Cliente,*&YzSCssb1
e495b188-b261-4395-890e-62664e8839d3,karenfitzgerald,Administrador,$Ea9kUjU7j
ed6576e3-ffcc-419a-a5a5-362656d10cc1,mortondonald,Cliente,Ef(7_IxSI*
c0ebbaeb-e269-4da0-9d6c-f613f3e11460,irubio,Transportista,_^1TZzya5(
4d154602-2827-4b05-b1f4-fe5b2dfa124b,amytaylor,Transportista,$i9k$Ie3&s
b069131e-d3fa-4d27-9d2b-c02f07e327db,lmiller,Transportista,h#6IIKbL)P
1e25fc91-7af8-4f4a-9d47-17db2551b0e3,oboyle,Cliente,8oY_IgL)#2
62582d70-ce4f-4ef9-b72f-45e6137fb704,qgarcia,Transportista,Kq#2RoY$D%
8838a506-1d61-45bf-8f26-cdc59b00a3e6,edouglas,Transportista,55iVEJ5h+_
d1d8f770-b2bb-4a0c-80b4-fd0bd695af3b,angelahobbs,Cliente,_pX%@nfd4Z
ee8a51dc-a46b-4863-b6ca-8fa93b7fb642,stevenmartin,Transportista,%n4Py^Ogvq
8a69de11-0482-43e5-8cf7-df725177b7c7,megan44,Cliente,&m7!hKm&+C
6fce30e7-9d79-4fd2-9ae2-eeca773dd3d4,evanskevin,Cliente,F33PPy6+#o
aafb2901-0eff-49b5-a57f-2e8a112835f1,warrenchristopher,Transportista,j8BIOxE#+g
7cda75e9-8be1-43f9-b20c-2037dadd057f,grodriguez,Transportista,6&GS(lmS#W
3243eef4-39a3-4e7a-ac6d-eea2ca8e2702,ochristensen,Cliente,@v@R3m&H57
1c68327d-ff41-4b59-82b3-02338f2f9faa,bwilliams,Administrador,!gqQpFLyw1
67f3eab7-5c0e-49f2-abcf-635541b0a082,clarkmichael,Cliente,@vh^M9pi02
9c6f7727-4087-41c2-b6fc-1c8b30391207,xochoa,Cliente,!h($TB7j(7
524fd34e-d027-4b3d-9173-f9311d96d63b,jonathan48,Administrador,^pUTHAHgG5
8bd445b4-f2bd-4a06-a0cc-989ff970be11,brianberry,Cliente,%RA!%Dsr97
8b38fa04-6f25-4f2f-b002-a933e6f76f8b,xgardner,Administrador,f*L1RvOU$4
7cccd5a4-cd51-4344-8cc4-d6bc4192d706,ruth35,Administrador,@3&x4CfpJ%
20efd602-9c4f-4d32-b207-db8d561fda5f,fernandezanna,Cliente,^c#3UzuWJC
20f58818-4627-499a-a120-1db33439c372,steven66,Transportista,Nq4x2Dgj*q
e3e2344f-9e19-4a2e-8a04-dae5348b79ea,renee64,Administrador,B#29Gx3acu
ea163f92-ca9e-490b-a2d1-143b517e7e13,lisa63,Transportista,&fo0JNXfyZ
d827d947-202b-44c3-a207-e3356acd43e6,troy93,Administrador,&8w3LMuoxJ
38ba080c-36f2-4821-9674-fcefd5990f9f,michaeltorres,Transportista,p*C7NTV(&g
eb90105b-f53f-451d-a595-2cb0b73390a8,petersonholly,Transportista,*k2MErFHZu
ef112cbc-876e-436d-8ab3-35ba93578964,karen66,Administrador,Vn0yr4SmB(
ff124e97-3b32-4bdf-a7f7-63fadd7b44ae,garciatoni,Transportista,N18Xj_vs$V
d53337be-137e-4de4-b810-b91952ebaa66,christinamurphy,Administrador,VsEUmFHv@8
07481a92-a3ba-4b12-8e86-b822aba6d269,jacobsjames,Administrador,+w4IlJfP*R
